Model,Target,Target_class,N,RMSE,MSE,Pearson,Spearman,Kendall,CI,Rm2
haiping,P29597,Kinase,51,1.263,1.595,-0.221,-0.283,-0.174,0.413,0.008
haiping,P31153,Transferase,50,0.789,0.622,0.352,0.381,0.248,0.625,0.064
haiping,P34913,Hydrolase,70,1.628,2.652,-0.014,-0.089,-0.06,0.47,0.0
haiping,P34972,Family A G protein-coupled receptor,30,1.845,3.403,-0.191,-0.127,-0.076,0.462,0.008
haiping,P35372,Family A G protein-coupled receptor,35,1.464,2.142,0.106,0.089,0.076,0.538,0.007
haiping,P35408,Family A G protein-coupled receptor,54,1.337,1.789,0.319,0.202,0.138,0.571,0.09
haiping,P35462,Family A G protein-coupled receptor,79,1.24,1.537,0.1,0.065,0.032,0.516,0.006
haiping,P36544,Ion channel,33,1.178,1.389,-0.183,-0.178,-0.118,0.441,-0.02
haiping,P37231,Transcription factor,16,2.286,5.226,0.739,0.689,0.639,0.822,0.321
haiping,P41143,Family A G protein-coupled receptor,41,1.172,1.374,0.635,0.634,0.458,0.73,0.383
haiping,P41145,Family A G protein-coupled receptor,34,1.67,2.788,-0.189,-0.225,-0.166,0.417,0.016
haiping,P42330,Oxidoreductase,99,1.088,1.183,0.069,0.0,0.0,0.5,-0.002
haiping,P42336,Transferase,111,1.144,1.308,0.254,0.238,0.158,0.579,0.043
haiping,P42345,Kinase,55,0.855,0.731,0.528,0.453,0.32,0.66,0.142
haiping,P42866,Family A G protein-coupled receptor,32,0.519,0.269,0.034,0.06,0.051,0.525,0.0
haiping,P43166,Lyase,119,1.071,1.147,-0.133,-0.024,-0.001,0.499,-0.002
haiping,P43490,Unclassified protein,38,1.278,1.633,-0.113,-0.13,-0.081,0.459,0.006
haiping,P45983,Kinase,68,1.611,2.596,0.636,0.562,0.386,0.697,0.357
haiping,P49759,Kinase,97,0.971,0.943,-0.043,-0.029,-0.016,0.492,-0.0
haiping,P49841,Kinase,113,1.906,3.634,-0.339,-0.332,-0.222,0.389,0.035
haiping,P50406,Family A G protein-coupled receptor,77,1.141,1.303,0.058,0.098,0.062,0.531,0.0
haiping,P51449,Transcription factor,59,0.966,0.933,0.03,0.041,0.02,0.51,0.0
haiping,P52333,Kinase,70,1.147,1.315,0.295,0.17,0.138,0.569,0.037
haiping,P53350,Kinase,96,1.432,2.049,0.249,0.335,0.216,0.609,0.061
haiping,P53779,Kinase,159,1.076,1.158,0.316,0.325,0.203,0.602,0.065
haiping,Q00987,Other nuclear protein,94,1.61,2.592,0.443,0.401,0.272,0.636,0.175
haiping,Q02127,Oxidoreductase,31,0.838,0.702,0.547,0.319,0.235,0.618,0.143
haiping,Q03111,Epigenetic regulator,48,1.001,1.002,0.307,0.24,0.177,0.589,0.083
haiping,Q03181,Transcription factor,19,1.277,1.631,0.663,0.551,0.404,0.702,0.326
haiping,Q06124,Phosphatase,42,0.912,0.832,0.477,0.452,0.308,0.654,0.184
haiping,Q06187,Kinase,69,1.219,1.486,-0.372,-0.395,-0.253,0.373,0.03
haiping,Q12809,Ion channel,119,2.428,5.895,0.033,-0.049,-0.032,0.484,0.0
haiping,Q13546,Kinase,52,0.918,0.843,0.485,0.531,0.355,0.678,0.067
haiping,Q13547,Epigenetic regulator,358,1.23,1.513,-0.093,-0.104,-0.07,0.465,0.002
haiping,Q13627,Kinase,80,1.543,2.38,-0.244,-0.31,-0.198,0.401,0.005
haiping,Q15910,Epigenetic regulator,44,1.128,1.273,-0.03,0.049,0.038,0.519,-0.0
haiping,Q16769,Transferase,52,2.205,4.863,-0.142,-0.186,-0.14,0.429,-0.007
haiping,Q16790,Lyase,209,0.872,0.76,0.23,0.175,0.117,0.558,0.015
haiping,Q72547,Hydrolase,164,1.22,1.488,-0.059,-0.042,-0.029,0.485,0.0
haiping,Q92630,Kinase,38,1.322,1.748,0.458,0.46,0.305,0.652,0.173
haiping,Q92769,Epigenetic regulator,41,1.119,1.252,-0.069,0.031,0.016,0.508,0.001
haiping,Q92918,Kinase,134,0.94,0.884,0.025,0.09,0.061,0.531,0.0
haiping,Q96P20,Unclassified protein,73,1.316,1.733,0.251,0.265,0.182,0.591,0.047
haiping,Q96SW2,Unclassified protein,56,1.337,1.786,0.638,0.479,0.267,0.634,0.306
haiping,Q99538,Protease,40,1.069,1.142,0.042,0.066,0.048,0.524,0.001
haiping,Q9NXA8,Epigenetic regulator,95,1.123,1.262,-0.025,-0.016,-0.008,0.496,0.0
haiping,Q9Y463,Kinase,42,0.96,0.922,0.141,0.164,0.11,0.555,0.01
mfe,C7C422,Hydrolase,49,1.296,1.68,-0.0,-0.012,0.015,0.508,0.0
mfe,O00444,Kinase,147,1.418,2.012,0.061,0.031,0.027,0.514,0.002
mfe,O14757,Kinase,59,1.393,1.939,0.077,0.105,0.085,0.543,0.003
mfe,O43570,Lyase,196,0.706,0.498,0.069,0.002,0.005,0.503,0.003
mfe,O60341,Epigenetic regulator,122,0.998,0.997,0.346,0.367,0.24,0.62,0.099
mfe,O60674,Kinase,77,1.01,1.019,-0.071,0.018,0.014,0.507,0.003
mfe,O60885,Epigenetic regulator,234,0.858,0.736,0.398,0.379,0.26,0.63,0.158
mfe,O75116,Kinase,60,1.275,1.626,-0.112,-0.01,0.006,0.503,0.007
mfe,O75874,Oxidoreductase,39,1.371,1.879,0.07,0.086,0.047,0.524,0.003
mfe,O94925,Hydrolase,84,0.583,0.339,0.387,0.23,0.165,0.583,0.081
mfe,O96028,Epigenetic regulator,34,0.775,0.6,-0.088,0.019,0.013,0.506,0.002
mfe,P00533,Kinase,139,0.989,0.977,0.032,0.025,0.013,0.506,0.0
mfe,P00915,Lyase,247,0.969,0.939,0.145,0.096,0.062,0.531,0.013
mfe,P00918,Lyase,263,0.935,0.874,0.055,-0.093,-0.067,0.467,0.002
mfe,P01116,Hydrolase,52,1.123,1.26,0.207,0.25,0.186,0.593,0.026
mfe,P03372,Transcription factor,79,2.304,5.31,0.182,0.325,0.22,0.611,0.028
mfe,P03951,Protease,39,1.252,1.568,-0.063,-0.119,-0.065,0.467,0.003
mfe,P04629,Kinase,113,1.795,3.221,-0.031,-0.014,-0.01,0.495,0.0
mfe,P06276,Hydrolase,126,1.058,1.119,0.316,0.334,0.228,0.614,0.084
mfe,P07333,Kinase,81,1.136,1.289,-0.229,-0.141,-0.079,0.46,0.012
mfe,P08183,Transporter,83,1.696,2.877,0.054,-0.026,-0.015,0.492,0.001
mfe,P08684,Cytochrome p450,56,2.473,6.117,-0.556,-0.608,-0.42,0.29,-0.068
mfe,P08908,Family A G protein-coupled receptor,46,1.281,1.642,0.188,0.146,0.108,0.554,0.03
mfe,P09874,Transferase,127,1.787,3.192,-0.61,-0.589,-0.406,0.296,-0.074
mfe,P0DTD1,Transferase,726,1.307,1.709,0.267,0.286,0.195,0.598,0.067
mfe,P10275,Transcription factor,36,0.802,0.643,0.044,-0.02,-0.024,0.488,0.001
mfe,P14416,Family A G protein-coupled receptor,134,1.063,1.131,0.064,0.116,0.083,0.542,0.003
mfe,P17931,Unclassified protein,38,0.981,0.963,-0.369,-0.434,-0.297,0.351,-0.062
mfe,P21728,Family A G protein-coupled receptor,37,1.008,1.016,-0.431,-0.27,-0.185,0.408,0.037
mfe,P22303,Hydrolase,109,2.045,4.182,0.047,0.146,0.093,0.547,0.001
mfe,P23458,Kinase,99,1.825,3.331,0.659,0.646,0.453,0.727,0.27
mfe,P24941,Kinase,50,0.874,0.764,0.605,0.559,0.333,0.667,0.265
mfe,P27338,Oxidoreductase,124,2.119,4.489,0.18,0.182,0.127,0.564,0.022
mfe,P28223,Family A G protein-coupled receptor,54,1.62,2.625,0.373,0.331,0.23,0.615,0.135
mfe,P28335,Family A G protein-coupled receptor,22,1.813,3.288,0.371,0.434,0.3,0.651,0.133
mfe,P28907,Hydrolase|Transferase,37,2.405,5.782,-0.102,-0.09,-0.053,0.473,0.007
mfe,P29274,Family A G protein-coupled receptor,46,2.041,4.166,0.133,0.199,0.126,0.563,0.013
mfe,P29597,Kinase,51,1.061,1.125,0.252,0.205,0.134,0.567,0.063
mfe,P31153,Transferase,50,1.676,2.81,0.359,0.356,0.257,0.629,0.054
mfe,P34913,Hydrolase,70,1.215,1.475,0.302,0.167,0.11,0.555,0.088
mfe,P34972,Family A G protein-coupled receptor,30,2.088,4.36,0.129,0.244,0.154,0.577,0.011
mfe,P35372,Family A G protein-coupled receptor,35,1.018,1.036,0.313,0.335,0.198,0.599,0.067
mfe,P35408,Family A G protein-coupled receptor,54,1.45,2.103,0.226,0.256,0.16,0.582,0.047
mfe,P35462,Family A G protein-coupled receptor,79,1.165,1.357,0.148,-0.011,-0.019,0.49,0.017
mfe,P36544,Ion channel,33,1.654,2.735,-0.116,-0.056,-0.038,0.481,-0.005
mfe,P37231,Transcription factor,16,1.95,3.804,-0.153,-0.19,-0.134,0.432,0.002
mfe,P41143,Family A G protein-coupled receptor,41,1.066,1.137,0.629,0.512,0.353,0.677,0.388
mfe,P41145,Family A G protein-coupled receptor,34,1.445,2.089,0.212,0.279,0.187,0.594,0.033
mfe,P42330,Oxidoreductase,99,1.202,1.444,-0.1,-0.137,-0.097,0.451,-0.001
mfe,P42336,Transferase,111,1.155,1.333,0.141,0.136,0.121,0.561,0.016
mfe,P42345,Kinase,55,1.075,1.155,0.008,0.042,0.028,0.514,0.0
mfe,P42866,Family A G protein-coupled receptor,32,0.791,0.625,-0.067,-0.049,-0.048,0.476,-0.0
mfe,P43166,Lyase,119,0.772,0.596,0.264,0.189,0.109,0.555,0.032
mfe,P43490,Unclassified protein,38,1.263,1.594,-0.271,-0.182,-0.116,0.442,0.02
mfe,P45983,Kinase,68,1.757,3.087,0.443,0.28,0.183,0.593,0.141
mfe,P49759,Kinase,97,0.863,0.744,-0.175,-0.207,-0.139,0.43,0.007
mfe,P49841,Kinase,113,1.573,2.474,0.317,0.272,0.193,0.597,0.097
mfe,P50406,Family A G protein-coupled receptor,77,1.029,1.059,0.004,0.053,0.035,0.517,0.0
mfe,P51449,Transcription factor,59,1.405,1.974,0.225,0.308,0.207,0.604,0.037
mfe,P52333,Kinase,70,1.473,2.17,0.006,-0.304,-0.203,0.398,0.0
mfe,P53350,Kinase,96,1.267,1.605,0.538,0.527,0.379,0.69,0.246
mfe,P53779,Kinase,159,1.195,1.428,0.642,0.634,0.449,0.725,0.386
mfe,Q00987,Other nuclear protein,94,1.728,2.985,0.741,0.763,0.578,0.79,0.37
mfe,Q02127,Oxidoreductase,31,0.944,0.891,0.778,0.59,0.42,0.711,0.472
mfe,Q03111,Epigenetic regulator,48,1.258,1.583,0.346,0.204,0.132,0.566,0.109
mfe,Q03181,Transcription factor,19,1.23,1.512,0.264,0.233,0.146,0.573,0.056
mfe,Q06124,Phosphatase,42,0.755,0.569,0.542,0.506,0.38,0.69,0.282
mfe,Q06187,Kinase,69,1.166,1.359,0.545,0.599,0.42,0.71,0.262
mfe,Q12809,Ion channel,119,1.865,3.479,-0.049,-0.084,-0.061,0.469,-0.001
mfe,Q13546,Kinase,52,1.432,2.05,0.516,0.502,0.338,0.67,-0.276
mfe,Q13547,Epigenetic regulator,358,1.01,1.02,0.086,0.048,0.024,0.512,0.005
mfe,Q13627,Kinase,80,1.349,1.819,0.178,0.134,0.09,0.545,0.027
mfe,Q15910,Epigenetic regulator,44,0.991,0.983,0.232,0.308,0.201,0.601,0.026
mfe,Q16769,Transferase,52,1.414,1.998,-0.059,0.043,0.031,0.516,0.001
mfe,Q16790,Lyase,209,0.886,0.785,0.136,0.037,0.025,0.512,0.005
mfe,Q72547,Hydrolase,164,1.596,2.547,0.353,0.116,0.067,0.534,0.071
mfe,Q92630,Kinase,38,1.623,2.634,0.234,0.229,0.174,0.587,0.045
mfe,Q92769,Epigenetic regulator,41,0.805,0.649,0.282,0.262,0.172,0.586,0.07
mfe,Q92918,Kinase,134,0.952,0.907,0.165,0.182,0.128,0.564,0.018
mfe,Q96P20,Unclassified protein,73,1.312,1.722,0.132,0.129,0.087,0.544,0.011
mfe,Q96SW2,Unclassified protein,56,0.911,0.83,0.68,0.494,0.335,0.668,0.445
mfe,Q99538,Protease,40,1.106,1.224,0.084,0.072,0.054,0.527,0.005
mfe,Q9NXA8,Epigenetic regulator,95,1.602,2.566,-0.183,-0.193,-0.126,0.437,0.002
mfe,Q9Y463,Kinase,42,1.222,1.493,0.073,-0.03,-0.023,0.488,0.004
bapred,C7C422,Hydrolase,49,1.258,1.583,0.116,0.158,0.124,0.562,0.003
bapred,O00444,Kinase,147,1.675,2.806,0.17,0.136,0.09,0.545,0.013
bapred,O14757,Kinase,59,1.043,1.088,0.042,0.097,0.063,0.531,0.001
bapred,O43570,Lyase,196,0.824,0.68,0.233,0.177,0.122,0.561,0.01
bapred,O60341,Epigenetic regulator,122,1.363,1.858,0.1,0.089,0.051,0.526,0.002
bapred,O60674,Kinase,77,0.945,0.893,0.187,0.157,0.113,0.557,0.019
bapred,O60885,Epigenetic regulator,234,0.997,0.993,0.411,0.422,0.279,0.64,0.102
bapred,O75116,Kinase,60,0.98,0.96,0.248,0.285,0.179,0.59,0.052
bapred,O75874,Oxidoreductase,39,2.223,4.942,0.116,0.149,0.096,0.548,0.007
bapred,O94925,Hydrolase,84,0.888,0.789,0.484,0.416,0.293,0.647,-0.013
bapred,O96028,Epigenetic regulator,34,0.907,0.823,-0.152,-0.129,-0.084,0.458,-0.005
bapred,P00533,Kinase,139,1.046,1.094,0.126,0.096,0.059,0.53,0.006
bapred,P00915,Lyase,247,1.182,1.397,-0.113,-0.159,-0.098,0.451,0.0
bapred,P00918,Lyase,263,1.035,1.071,0.256,0.164,0.112,0.556,0.016
bapred,P01116,Hydrolase,52,1.952,3.809,-0.016,0.033,0.032,0.516,0.0
bapred,P03372,Transcription factor,79,2.096,4.393,-0.444,-0.374,-0.263,0.368,-0.068
bapred,P03951,Protease,39,0.986,0.972,0.452,0.355,0.241,0.621,0.185
bapred,P04629,Kinase,113,1.84,3.385,-0.064,-0.057,-0.036,0.482,0.0
bapred,P06276,Hydrolase,126,1.332,1.774,0.077,0.176,0.117,0.559,0.002
bapred,P07333,Kinase,81,1.315,1.73,-0.088,-0.104,-0.067,0.466,0.002
bapred,P08183,Transporter,83,1.502,2.256,-0.088,-0.034,-0.022,0.489,-0.001
bapred,P08684,Cytochrome p450,56,1.938,3.755,-0.561,-0.582,-0.403,0.298,-0.147
bapred,P08908,Family A G protein-coupled receptor,46,1.471,2.163,-0.438,-0.448,-0.307,0.346,-0.016
bapred,P09874,Transferase,127,1.518,2.303,-0.254,-0.33,-0.204,0.398,0.006
bapred,P0DTD1,Transferase,726,1.104,1.218,0.312,0.229,0.154,0.577,0.059
bapred,P10275,Transcription factor,36,1.528,2.333,-0.11,-0.112,-0.067,0.466,-0.007
bapred,P14416,Family A G protein-coupled receptor,134,1.416,2.005,-0.285,-0.252,-0.179,0.411,-0.001
bapred,P17931,Unclassified protein,38,1.135,1.287,-0.1,-0.185,-0.145,0.427,-0.011
bapred,P21728,Family A G protein-coupled receptor,37,1.197,1.432,0.078,0.057,0.044,0.522,0.002
bapred,P22303,Hydrolase,109,2.243,5.033,0.478,0.477,0.34,0.67,0.169
bapred,P23458,Kinase,99,2.162,4.673,0.294,0.283,0.19,0.595,0.073
bapred,P24941,Kinase,50,1.005,1.01,0.443,0.422,0.275,0.637,0.167
bapred,P27338,Oxidoreductase,124,1.38,1.904,-0.086,-0.106,-0.067,0.467,0.002
bapred,P28223,Family A G protein-coupled receptor,54,1.061,1.126,0.326,0.185,0.121,0.561,0.073
bapred,P28335,Family A G protein-coupled receptor,22,0.835,0.698,0.428,0.434,0.326,0.664,0.119
bapred,P28907,Hydrolase|Transferase,37,2.83,8.008,-0.369,-0.252,-0.159,0.42,-0.055
bapred,P29274,Family A G protein-coupled receptor,46,2.359,5.565,-0.168,-0.081,-0.058,0.471,0.014
bapred,P29597,Kinase,51,1.109,1.231,-0.01,-0.082,-0.055,0.472,0.0
bapred,P31153,Transferase,50,0.758,0.574,0.44,0.482,0.319,0.66,0.041
bapred,P34913,Hydrolase,70,1.652,2.728,0.305,0.406,0.265,0.633,0.062
bapred,P34972,Family A G protein-coupled receptor,30,1.252,1.567,-0.179,-0.229,-0.099,0.451,0.007
bapred,P35372,Family A G protein-coupled receptor,35,1.263,1.595,0.291,0.365,0.219,0.609,0.02
bapred,P35408,Family A G protein-coupled receptor,54,1.61,2.591,-0.02,-0.052,-0.034,0.483,0.0
bapred,P35462,Family A G protein-coupled receptor,79,1.424,2.027,-0.183,-0.247,-0.165,0.417,0.009
bapred,P36544,Ion channel,33,1.106,1.224,-0.084,0.133,0.121,0.561,-0.002
bapred,P37231,Transcription factor,16,1.145,1.311,0.279,0.273,0.211,0.606,0.045
bapred,P41143,Family A G protein-coupled receptor,41,1.06,1.124,0.545,0.415,0.289,0.645,0.22
bapred,P41145,Family A G protein-coupled receptor,34,1.527,2.33,0.008,0.118,0.087,0.544,0.0
bapred,P42330,Oxidoreductase,99,0.981,0.962,0.106,0.07,0.047,0.524,0.0
bapred,P42336,Transferase,111,1.274,1.623,0.183,0.196,0.132,0.566,0.023
bapred,P42345,Kinase,55,1.123,1.262,0.099,0.053,0.047,0.524,0.004
bapred,P42866,Family A G protein-coupled receptor,32,0.824,0.679,0.089,0.188,0.105,0.553,-0.006
bapred,P43166,Lyase,119,1.09,1.189,0.293,0.271,0.181,0.591,0.012
bapred,P43490,Unclassified protein,38,1.545,2.386,0.208,0.282,0.184,0.592,0.024
bapred,P45983,Kinase,68,1.549,2.399,0.636,0.542,0.398,0.703,0.187
bapred,P49759,Kinase,97,1.02,1.041,-0.162,-0.214,-0.143,0.428,0.004
bapred,P49841,Kinase,113,1.636,2.676,0.509,0.352,0.244,0.622,0.216
bapred,P50406,Family A G protein-coupled receptor,77,1.011,1.022,0.092,0.153,0.1,0.55,0.002
bapred,P51449,Transcription factor,59,0.881,0.776,0.167,0.085,0.053,0.526,0.012
bapred,P52333,Kinase,70,1.886,3.557,0.058,-0.18,-0.114,0.443,-0.0
bapred,P53350,Kinase,96,1.95,3.803,-0.428,-0.13,-0.083,0.458,0.025
bapred,P53779,Kinase,159,1.01,1.021,0.641,0.641,0.466,0.733,0.213
bapred,Q00987,Other nuclear protein,94,1.041,1.084,0.745,0.699,0.504,0.752,0.509
bapred,Q02127,Oxidoreductase,31,0.825,0.681,0.471,0.205,0.153,0.577,0.12
bapred,Q03111,Epigenetic regulator,48,0.92,0.846,0.433,0.395,0.266,0.633,0.126
bapred,Q03181,Transcription factor,19,0.945,0.893,0.248,0.2,0.146,0.573,0.039
bapred,Q06124,Phosphatase,42,0.842,0.709,0.583,0.522,0.371,0.686,0.182
bapred,Q06187,Kinase,69,1.486,2.209,0.516,0.536,0.399,0.7,0.241
bapred,Q12809,Ion channel,119,1.68,2.822,-0.04,-0.119,-0.084,0.458,-0.0
bapred,Q13546,Kinase,52,1.361,1.853,0.543,0.48,0.315,0.658,-0.207
bapred,Q13547,Epigenetic regulator,358,1.12,1.254,0.058,0.08,0.052,0.526,0.001
bapred,Q13627,Kinase,80,1.568,2.459,0.001,0.059,0.025,0.512,0.0
bapred,Q15910,Epigenetic regulator,44,1.337,1.786,0.003,0.113,0.064,0.532,-0.0
bapred,Q16769,Transferase,52,1.368,1.873,-0.009,0.029,0.024,0.512,0.0
bapred,Q16790,Lyase,209,0.852,0.726,0.298,0.28,0.184,0.592,0.02
bapred,Q72547,Hydrolase,164,1.118,1.251,0.38,0.223,0.155,0.578,0.047
bapred,Q92630,Kinase,38,1.547,2.393,-0.342,-0.265,-0.171,0.415,0.033
bapred,Q92769,Epigenetic regulator,41,0.998,0.996,0.019,-0.004,-0.031,0.485,0.0
bapred,Q92918,Kinase,134,1.064,1.131,0.003,-0.014,-0.008,0.496,0.0
bapred,Q96P20,Unclassified protein,73,1.513,2.29,0.006,-0.052,-0.024,0.488,0.0
bapred,Q96SW2,Unclassified protein,56,1.161,1.348,0.587,0.43,0.275,0.638,0.271
bapred,Q99538,Protease,40,2.01,4.041,-0.121,-0.013,0.01,0.505,-0.008
bapred,Q9NXA8,Epigenetic regulator,95,1.076,1.158,0.159,0.185,0.132,0.566,0.001
bapred,Q9Y463,Kinase,42,1.307,1.709,-0.392,-0.269,-0.184,0.408,0.023
llf,C7C422,Hydrolase,49,1.231,1.515,0.194,0.34,0.25,0.625,0.024
llf,O00444,Kinase,147,0.963,0.927,0.274,0.34,0.216,0.608,0.051
llf,O14757,Kinase,59,0.825,0.681,-0.095,-0.044,-0.021,0.49,0.003
llf,O43570,Lyase,196,0.75,0.563,0.262,0.24,0.163,0.582,0.027
llf,O60341,Epigenetic regulator,122,2.259,5.102,0.606,0.628,0.425,0.713,0.366
llf,O60674,Kinase,77,1.25,1.563,0.035,0.056,0.034,0.517,0.001
llf,O60885,Epigenetic regulator,234,0.942,0.887,0.457,0.488,0.34,0.67,0.179
llf,O75116,Kinase,60,1.65,2.723,0.218,0.119,0.102,0.551,0.014
llf,O75874,Oxidoreductase,39,1.008,1.016,0.2,0.085,0.055,0.528,0.031
llf,O94925,Hydrolase,84,1.147,1.316,0.537,0.506,0.345,0.673,0.157
llf,O96028,Epigenetic regulator,34,0.543,0.295,0.403,0.376,0.259,0.63,0.112
llf,P00533,Kinase,139,1.293,1.672,-0.092,-0.089,-0.055,0.472,0.003
llf,P00915,Lyase,247,1.014,1.029,0.112,0.115,0.078,0.539,0.005
llf,P00918,Lyase,263,1.545,2.387,0.091,0.057,0.039,0.52,0.004
llf,P01116,Hydrolase,52,1.005,1.01,0.392,0.372,0.283,0.642,0.129
llf,P03372,Transcription factor,79,2.714,7.367,-0.616,-0.486,-0.334,0.332,-0.119
llf,P03951,Protease,39,1.11,1.233,0.178,-0.016,-0.024,0.488,0.025
llf,P04629,Kinase,113,1.093,1.195,0.295,0.246,0.169,0.584,0.048
llf,P06276,Hydrolase,126,1.111,1.235,0.088,0.107,0.078,0.539,0.005
llf,P07333,Kinase,81,1.542,2.379,0.108,0.166,0.117,0.559,0.004
llf,P08183,Transporter,83,2.462,6.059,0.104,0.015,0.011,0.505,0.007
llf,P08684,Cytochrome p450,56,2.802,7.849,-0.613,-0.564,-0.399,0.3,-0.057
llf,P08908,Family A G protein-coupled receptor,46,1.418,2.012,0.419,0.407,0.234,0.617,0.171
llf,P09874,Transferase,127,2.346,5.503,0.216,0.198,0.127,0.564,0.039
llf,P0DTD1,Transferase,726,1.681,2.827,0.269,0.289,0.195,0.598,0.058
llf,P10275,Transcription factor,36,1.19,1.417,0.171,0.123,0.094,0.547,0.02
llf,P14416,Family A G protein-coupled receptor,134,1.983,3.933,0.195,0.119,0.078,0.539,0.033
llf,P17931,Unclassified protein,38,1.179,1.39,-0.034,-0.049,-0.03,0.485,-0.001
llf,P21728,Family A G protein-coupled receptor,37,1.175,1.382,-0.164,-0.147,-0.087,0.456,0.005
llf,P22303,Hydrolase,109,1.637,2.68,0.101,0.278,0.182,0.591,0.008
llf,P23458,Kinase,99,2.916,8.504,0.595,0.607,0.405,0.703,0.24
llf,P24941,Kinase,50,1.423,2.025,0.145,0.056,0.056,0.528,0.016
llf,P27338,Oxidoreductase,124,1.397,1.951,-0.081,-0.115,-0.068,0.466,0.003
llf,P28223,Family A G protein-coupled receptor,54,1.009,1.019,0.524,0.468,0.356,0.678,0.233
llf,P28335,Family A G protein-coupled receptor,22,2.085,4.347,0.382,0.363,0.254,0.627,0.09
llf,P28907,Hydrolase|Transferase,37,2.666,7.109,0.05,0.087,0.045,0.523,0.001
llf,P29274,Family A G protein-coupled receptor,46,1.712,2.93,0.224,0.073,0.045,0.522,0.046
llf,P29597,Kinase,51,0.969,0.939,0.215,0.007,-0.007,0.496,0.035
llf,P31153,Transferase,50,2.38,5.663,0.552,0.547,0.368,0.685,0.153
llf,P34913,Hydrolase,70,2.53,6.398,0.44,0.386,0.269,0.635,0.143
llf,P34972,Family A G protein-coupled receptor,30,1.015,1.029,0.218,0.211,0.136,0.568,0.032
llf,P35372,Family A G protein-coupled receptor,35,2.219,4.922,0.342,0.373,0.261,0.63,0.107
llf,P35408,Family A G protein-coupled receptor,54,1.327,1.76,0.463,0.395,0.265,0.636,0.165
llf,P35462,Family A G protein-coupled receptor,79,1.236,1.528,0.269,0.161,0.105,0.552,0.064
llf,P36544,Ion channel,33,1.072,1.15,-0.003,0.053,0.038,0.519,0.0
llf,P37231,Transcription factor,16,3.791,14.37,0.125,0.06,0.101,0.551,0.008
llf,P41143,Family A G protein-coupled receptor,41,0.646,0.417,0.606,0.558,0.389,0.693,0.299
llf,P41145,Family A G protein-coupled receptor,34,1.379,1.901,0.23,0.105,0.03,0.515,0.049
llf,P42330,Oxidoreductase,99,1.197,1.433,-0.2,-0.164,-0.116,0.441,0.007
llf,P42336,Transferase,111,1.518,2.303,0.296,0.313,0.201,0.601,0.055
llf,P42345,Kinase,55,1.799,3.238,0.261,0.259,0.176,0.588,0.041
llf,P42866,Family A G protein-coupled receptor,32,1.116,1.246,-0.116,-0.116,-0.064,0.469,0.003
llf,P43166,Lyase,119,1.187,1.409,-0.12,-0.069,-0.05,0.475,0.004
llf,P43490,Unclassified protein,38,1.999,3.998,0.033,0.028,0.022,0.511,0.001
llf,P45983,Kinase,68,1.218,1.483,0.39,0.312,0.211,0.608,0.115
llf,P49759,Kinase,97,0.929,0.863,0.018,-0.02,-0.016,0.492,0.0
llf,P49841,Kinase,113,2.121,4.5,-0.008,0.05,0.037,0.518,0.0
llf,P50406,Family A G protein-coupled receptor,77,1.011,1.023,0.334,0.338,0.232,0.616,0.086
llf,P51449,Transcription factor,59,1.051,1.105,0.109,0.125,0.079,0.54,0.006
llf,P52333,Kinase,70,1.072,1.15,0.35,0.113,0.078,0.539,0.095
llf,P53350,Kinase,96,1.542,2.379,-0.351,-0.043,-0.018,0.491,0.046
llf,P53779,Kinase,159,0.894,0.8,0.499,0.503,0.345,0.673,0.225
llf,Q00987,Other nuclear protein,94,1.684,2.835,0.792,0.771,0.568,0.784,0.415
llf,Q02127,Oxidoreductase,31,0.929,0.862,-0.067,-0.261,-0.166,0.417,0.002
llf,Q03111,Epigenetic regulator,48,0.967,0.936,0.314,0.173,0.112,0.556,0.091
llf,Q03181,Transcription factor,19,2.886,8.328,0.266,0.382,0.263,0.632,0.058
llf,Q06124,Phosphatase,42,1.155,1.334,0.055,0.078,0.045,0.523,0.002
llf,Q06187,Kinase,69,1.314,1.727,0.074,0.109,0.073,0.537,0.004
llf,Q12809,Ion channel,119,3.856,14.866,-0.005,0.01,0.011,0.505,0.0
llf,Q13546,Kinase,52,0.669,0.447,0.595,0.644,0.432,0.717,0.14
llf,Q13547,Epigenetic regulator,358,1.08,1.165,0.112,0.129,0.087,0.543,0.009
llf,Q13627,Kinase,80,1.076,1.159,0.149,0.151,0.088,0.544,0.014
llf,Q15910,Epigenetic regulator,44,0.746,0.556,0.256,0.219,0.15,0.575,0.03
llf,Q16769,Transferase,52,2.684,7.204,0.14,0.024,0.027,0.513,0.012
llf,Q16790,Lyase,209,1.101,1.213,0.17,0.205,0.131,0.566,0.007
llf,Q72547,Hydrolase,164,1.163,1.353,0.078,0.116,0.096,0.548,0.001
llf,Q92630,Kinase,38,1.778,3.161,0.192,0.175,0.117,0.558,0.029
llf,Q92769,Epigenetic regulator,41,1.239,1.536,-0.0,0.007,0.0,0.5,0.0
llf,Q92918,Kinase,134,1.227,1.505,0.175,0.116,0.081,0.541,0.023
llf,Q96P20,Unclassified protein,73,1.244,1.548,0.283,0.24,0.162,0.581,0.068
llf,Q96SW2,Unclassified protein,56,2.211,4.889,0.753,0.588,0.412,0.706,0.523
llf,Q99538,Protease,40,1.049,1.1,0.62,0.52,0.386,0.693,0.364
