Model,Dataset,Target,Target_class,N,RMSE,MSE,Pearson,Spearman,Kendall,CI,Rm2
deepdta,sequence_chembl35_full,Q12809,Ion channel,119,3.099,9.604,0.078,0.066,0.042,0.521,0.003
deepdta,sequence_chembl35_full,Q13546,Kinase,52,1.541,2.375,0.432,0.36,0.233,0.617,0.023
deepdta,sequence_chembl35_full,Q13547,Epigenetic regulator,358,1.35,1.821,-0.04,-0.036,-0.026,0.487,0.0
deepdta,sequence_chembl35_full,Q13627,Kinase,80,1.098,1.206,0.123,0.12,0.075,0.537,0.009
deepdta,sequence_chembl35_full,Q15910,Epigenetic regulator,44,1.216,1.478,0.114,0.165,0.137,0.568,0.003
deepdta,sequence_chembl35_full,Q16769,Transferase,52,2.62,6.866,0.037,0.137,0.09,0.545,0.0
deepdta,sequence_chembl35_full,Q16790,Lyase,209,1.16,1.347,0.183,0.271,0.174,0.587,0.002
deepdta,sequence_chembl35_full,Q72547,Hydrolase,164,1.381,1.908,-0.054,-0.073,-0.03,0.485,-0.001
deepdta,sequence_chembl35_full,Q92630,Kinase,38,2.184,4.77,0.414,0.359,0.236,0.618,0.124
deepdta,sequence_chembl35_full,Q92769,Epigenetic regulator,41,1.636,2.675,-0.294,-0.068,-0.023,0.488,0.009
deepdta,sequence_chembl35_full,Q92918,Kinase,134,0.902,0.814,0.097,0.101,0.065,0.533,0.003
deepdta,sequence_chembl35_full,Q96P20,Unclassified protein,73,1.19,1.415,0.352,0.441,0.297,0.649,0.107
deepdta,sequence_chembl35_full,Q96SW2,Unclassified protein,56,2.031,4.127,0.749,0.506,0.334,0.667,0.449
deepdta,sequence_chembl35_full,Q99538,Protease,40,1.601,2.565,0.048,0.02,0.028,0.514,0.0
deepdta,sequence_chembl35_full,Q9NXA8,Epigenetic regulator,95,1.74,3.026,0.063,0.09,0.054,0.527,0.001
deepdta,sequence_chembl35_full,Q9Y463,Kinase,42,1.434,2.056,0.103,0.092,0.079,0.54,0.006
flowdock,af3_chembl35_full,C7C422,Hydrolase,49,1.151,1.325,0.027,-0.029,-0.031,0.485,0.0
flowdock,af3_chembl35_full,O00444,Kinase,147,1.365,1.863,0.495,0.546,0.367,0.684,0.225
flowdock,af3_chembl35_full,O14757,Kinase,59,0.952,0.905,0.062,0.079,0.076,0.538,0.002
flowdock,af3_chembl35_full,O43570,Lyase,196,0.851,0.724,0.014,-0.006,-0.004,0.498,0.0
flowdock,af3_chembl35_full,O60341,Epigenetic regulator,122,0.999,0.998,0.211,0.193,0.128,0.564,0.029
flowdock,af3_chembl35_full,O60674,Kinase,77,1.492,2.225,-0.241,-0.282,-0.2,0.4,0.004
flowdock,af3_chembl35_full,O60885,Epigenetic regulator,234,0.831,0.691,0.502,0.509,0.352,0.676,0.203
flowdock,af3_chembl35_full,O75116,Kinase,60,1.327,1.762,0.23,0.266,0.174,0.587,0.039
flowdock,af3_chembl35_full,O75874,Oxidoreductase,39,0.927,0.859,0.323,0.171,0.104,0.552,0.033
flowdock,af3_chembl35_full,O94925,Hydrolase,84,0.879,0.773,0.455,0.361,0.242,0.621,0.043
flowdock,af3_chembl35_full,O96028,Epigenetic regulator,34,0.645,0.416,0.324,0.317,0.227,0.614,0.027
flowdock,af3_chembl35_full,P00533,Kinase,139,1.05,1.102,0.068,0.127,0.084,0.542,0.003
flowdock,af3_chembl35_full,P00915,Lyase,247,1.213,1.472,0.221,0.221,0.153,0.577,0.029
flowdock,af3_chembl35_full,P00918,Lyase,263,1.059,1.122,0.207,0.145,0.102,0.551,0.026
flowdock,af3_chembl35_full,P01116,Hydrolase,52,1.546,2.389,-0.111,-0.134,-0.079,0.46,-0.001
flowdock,af3_chembl35_full,P03372,Transcription factor,79,2.825,7.981,-0.088,-0.073,-0.046,0.477,0.004
flowdock,af3_chembl35_full,P03951,Protease,39,1.139,1.298,0.217,0.191,0.138,0.569,0.031
flowdock,af3_chembl35_full,P04629,Kinase,113,1.532,2.348,0.012,0.004,-0.002,0.499,0.0
flowdock,af3_chembl35_full,P06276,Hydrolase,126,1.981,3.924,0.011,0.096,0.074,0.537,0.0
flowdock,af3_chembl35_full,P07333,Kinase,81,1.141,1.302,-0.227,-0.233,-0.154,0.423,0.014
flowdock,af3_chembl35_full,P08183,Transporter,83,1.508,2.275,0.436,0.388,0.271,0.636,0.141
flowdock,af3_chembl35_full,P08684,Cytochrome p450,56,2.603,6.776,-0.746,-0.603,-0.388,0.306,-0.424
flowdock,af3_chembl35_full,P08908,Family A G protein-coupled receptor,46,2.329,5.426,-0.354,-0.314,-0.22,0.39,0.036
flowdock,af3_chembl35_full,P09874,Transferase,127,1.361,1.853,-0.045,-0.052,-0.039,0.48,0.001
flowdock,af3_chembl35_full,P0DTD1,Transferase,726,1.099,1.208,0.155,0.141,0.095,0.548,0.013
flowdock,af3_chembl35_full,P10275,Transcription factor,36,1.93,3.725,-0.064,-0.173,-0.113,0.443,0.0
flowdock,af3_chembl35_full,P14416,Family A G protein-coupled receptor,134,2.375,5.643,0.076,0.072,0.044,0.522,0.004
flowdock,af3_chembl35_full,P17931,Unclassified protein,38,1.311,1.718,0.012,0.063,0.043,0.521,-0.0
flowdock,af3_chembl35_full,P21728,Family A G protein-coupled receptor,37,1.987,3.949,-0.086,0.043,0.029,0.514,0.004
flowdock,af3_chembl35_full,P22303,Hydrolase,109,2.664,7.096,0.484,0.382,0.264,0.632,0.206
flowdock,af3_chembl35_full,P23458,Kinase,99,1.993,3.972,0.34,0.36,0.237,0.619,0.108
flowdock,af3_chembl35_full,P24941,Kinase,50,0.957,0.916,0.53,0.511,0.332,0.666,0.231
flowdock,af3_chembl35_full,P27338,Oxidoreductase,124,1.126,1.268,0.253,0.225,0.149,0.575,0.046
flowdock,af3_chembl35_full,P28223,Family A G protein-coupled receptor,54,2.618,6.853,0.229,0.243,0.169,0.584,0.045
flowdock,af3_chembl35_full,P28335,Family A G protein-coupled receptor,22,2.547,6.488,0.323,0.294,0.196,0.598,0.063
flowdock,af3_chembl35_full,P28907,Hydrolase|Transferase,37,3.286,10.8,-0.4,-0.395,-0.28,0.359,0.009
flowdock,af3_chembl35_full,P29274,Family A G protein-coupled receptor,46,2.15,4.624,0.201,0.219,0.168,0.584,0.032
flowdock,af3_chembl35_full,P29597,Kinase,51,1.206,1.455,-0.231,-0.284,-0.183,0.408,0.014
flowdock,af3_chembl35_full,P31153,Transferase,50,1.602,2.565,0.38,0.413,0.261,0.631,-0.048
flowdock,af3_chembl35_full,P34913,Hydrolase,70,0.83,0.688,0.329,0.361,0.235,0.618,0.103
flowdock,af3_chembl35_full,P34972,Family A G protein-coupled receptor,30,1.893,3.583,0.363,0.464,0.31,0.655,0.109
flowdock,af3_chembl35_full,P35372,Family A G protein-coupled receptor,35,2.585,6.682,0.041,-0.054,-0.04,0.48,0.001
flowdock,af3_chembl35_full,P35408,Family A G protein-coupled receptor,54,1.396,1.95,0.056,0.017,0.032,0.517,0.002
flowdock,af3_chembl35_full,P35462,Family A G protein-coupled receptor,79,2.477,6.134,0.107,0.08,0.046,0.523,0.009
flowdock,af3_chembl35_full,P36544,Ion channel,33,1.268,1.608,-0.313,-0.143,-0.102,0.449,-0.053
flowdock,af3_chembl35_full,P37231,Transcription factor,16,1.68,2.823,0.164,0.18,0.168,0.585,0.01
flowdock,af3_chembl35_full,P41143,Family A G protein-coupled receptor,41,2.455,6.025,0.596,0.148,0.095,0.548,0.328
flowdock,af3_chembl35_full,P41145,Family A G protein-coupled receptor,34,2.928,8.573,-0.361,-0.233,-0.155,0.422,0.041
flowdock,af3_chembl35_full,P42330,Oxidoreductase,99,0.93,0.864,0.373,0.319,0.236,0.619,0.047
flowdock,af3_chembl35_full,P42336,Transferase,111,1.082,1.171,0.22,0.289,0.188,0.594,0.043
flowdock,af3_chembl35_full,P42345,Kinase,55,1.423,2.024,0.298,0.19,0.136,0.568,0.033
flowdock,af3_chembl35_full,P42866,Family A G protein-coupled receptor,32,1.339,1.793,-0.173,-0.088,-0.061,0.47,0.021
flowdock,af3_chembl35_full,P43166,Lyase,119,0.756,0.571,0.353,0.331,0.231,0.616,0.06
flowdock,af3_chembl35_full,P43490,Unclassified protein,38,1.409,1.984,-0.112,0.133,0.113,0.557,0.005
flowdock,af3_chembl35_full,P45983,Kinase,68,1.243,1.544,0.765,0.679,0.506,0.758,0.511
flowdock,af3_chembl35_full,P49759,Kinase,97,0.856,0.733,-0.198,-0.192,-0.121,0.439,0.008
flowdock,af3_chembl35_full,P49841,Kinase,113,1.645,2.705,0.343,0.282,0.191,0.596,0.106
flowdock,af3_chembl35_full,P50406,Family A G protein-coupled receptor,77,1.738,3.021,-0.147,-0.089,-0.053,0.473,0.006
flowdock,af3_chembl35_full,P51449,Transcription factor,59,0.729,0.531,0.296,0.368,0.243,0.622,0.052
flowdock,af3_chembl35_full,P52333,Kinase,70,1.018,1.037,0.167,-0.166,-0.117,0.441,0.019
flowdock,af3_chembl35_full,P53350,Kinase,96,2.025,4.099,-0.467,-0.166,-0.094,0.453,0.016
flowdock,af3_chembl35_full,P53779,Kinase,159,1.125,1.267,0.549,0.582,0.422,0.712,0.209
flowdock,af3_chembl35_full,Q00987,Other nuclear protein,94,1.339,1.793,0.753,0.775,0.579,0.79,0.373
flowdock,af3_chembl35_full,Q02127,Oxidoreductase,31,0.694,0.482,0.606,0.304,0.2,0.6,0.278
flowdock,af3_chembl35_full,Q03111,Epigenetic regulator,48,0.819,0.671,0.614,0.58,0.418,0.71,0.252
flowdock,af3_chembl35_full,Q03181,Transcription factor,19,1.049,1.1,0.451,0.511,0.357,0.678,0.198
flowdock,af3_chembl35_full,Q06124,Phosphatase,42,1.42,2.016,0.676,0.661,0.49,0.745,0.378
flowdock,af3_chembl35_full,Q06187,Kinase,69,1.029,1.059,0.217,0.21,0.151,0.575,0.046
flowdock,af3_chembl35_full,Q12809,Ion channel,119,2.339,5.472,-0.039,-0.039,-0.024,0.488,0.001
flowdock,af3_chembl35_full,Q13546,Kinase,52,0.739,0.547,0.57,0.5,0.355,0.678,0.12
flowdock,af3_chembl35_full,Q13547,Epigenetic regulator,358,1.283,1.646,-0.249,-0.257,-0.175,0.412,0.006
flowdock,af3_chembl35_full,Q13627,Kinase,80,1.233,1.52,-0.168,-0.163,-0.105,0.447,0.012
flowdock,af3_chembl35_full,Q15910,Epigenetic regulator,44,0.85,0.722,0.206,0.225,0.159,0.58,0.012
flowdock,af3_chembl35_full,Q16769,Transferase,52,2.692,7.248,0.033,-0.031,-0.011,0.494,0.0
flowdock,af3_chembl35_full,Q16790,Lyase,209,1.183,1.399,0.057,0.054,0.034,0.517,-0.0
flowdock,af3_chembl35_full,Q72547,Hydrolase,164,0.825,0.68,0.292,0.151,0.101,0.551,0.045
flowdock,af3_chembl35_full,Q92630,Kinase,38,1.328,1.764,0.189,0.206,0.117,0.558,0.029
flowdock,af3_chembl35_full,Q92769,Epigenetic regulator,41,1.081,1.168,-0.084,-0.107,-0.07,0.465,0.0
flowdock,af3_chembl35_full,Q92918,Kinase,134,0.765,0.585,0.167,0.193,0.128,0.564,0.022
flowdock,af3_chembl35_full,Q96P20,Unclassified protein,73,2.099,4.408,-0.08,-0.162,-0.099,0.45,0.0
flowdock,af3_chembl35_full,Q96SW2,Unclassified protein,56,0.96,0.921,0.69,0.485,0.314,0.658,0.309
flowdock,af3_chembl35_full,Q99538,Protease,40,1.622,2.63,0.108,0.081,0.059,0.53,0.006
flowdock,af3_chembl35_full,Q9NXA8,Epigenetic regulator,95,0.506,0.256,0.397,0.374,0.251,0.626,0.064
flowdock,af3_chembl35_full,Q9Y463,Kinase,42,1.03,1.061,-0.241,-0.253,-0.188,0.406,0.018
flowr_root,flowr_root_af3_chembl35_full,C7C422,Hydrolase,49,0.809,0.655,0.582,0.527,0.353,0.677,0.317
flowr_root,flowr_root_af3_chembl35_full,O00444,Kinase,147,0.94,0.884,0.266,0.277,0.18,0.59,0.052
flowr_root,flowr_root_af3_chembl35_full,O14757,Kinase,59,0.67,0.45,0.304,0.295,0.199,0.6,0.069
flowr_root,flowr_root_af3_chembl35_full,O43570,Lyase,196,0.899,0.809,0.175,0.182,0.123,0.562,0.018
flowr_root,flowr_root_af3_chembl35_full,O60341,Epigenetic regulator,122,0.863,0.745,0.458,0.448,0.304,0.652,0.179
flowr_root,flowr_root_af3_chembl35_full,O60674,Kinase,77,0.876,0.767,0.394,0.343,0.235,0.618,0.15
flowr_root,flowr_root_af3_chembl35_full,O60885,Epigenetic regulator,234,0.872,0.76,0.493,0.514,0.357,0.679,0.196
flowr_root,flowr_root_af3_chembl35_full,O75116,Kinase,60,0.987,0.974,0.486,0.447,0.31,0.655,0.224
flowr_root,flowr_root_af3_chembl35_full,O75874,Oxidoreductase,39,0.93,0.866,0.338,0.329,0.221,0.611,0.111
flowr_root,flowr_root_af3_chembl35_full,O94925,Hydrolase,84,0.608,0.37,0.46,0.482,0.338,0.669,0.098
flowr_root,flowr_root_af3_chembl35_full,O96028,Epigenetic regulator,34,0.912,0.831,-0.212,-0.238,-0.18,0.41,0.013
flowr_root,flowr_root_af3_chembl35_full,P00533,Kinase,139,0.914,0.835,0.293,0.343,0.221,0.61,0.045
flowr_root,flowr_root_af3_chembl35_full,P00915,Lyase,247,0.602,0.362,0.694,0.661,0.477,0.739,0.449
flowr_root,flowr_root_af3_chembl35_full,P00918,Lyase,263,0.763,0.582,0.535,0.569,0.407,0.704,0.209
flowr_root,flowr_root_af3_chembl35_full,P01116,Hydrolase,52,1.792,3.211,-0.041,-0.035,-0.037,0.481,0.0
flowr_root,flowr_root_af3_chembl35_full,P03372,Transcription factor,79,0.926,0.858,-0.171,-0.427,-0.275,0.362,0.006
flowr_root,flowr_root_af3_chembl35_full,P03951,Protease,39,0.997,0.993,0.616,0.434,0.314,0.658,0.357
flowr_root,flowr_root_af3_chembl35_full,P04629,Kinase,113,0.553,0.306,0.737,0.744,0.556,0.778,0.535
flowr_root,flowr_root_af3_chembl35_full,P06276,Hydrolase,126,0.995,0.989,0.377,0.318,0.214,0.607,0.092
flowr_root,flowr_root_af3_chembl35_full,P07333,Kinase,81,1.039,1.08,0.436,0.379,0.255,0.628,0.165
flowr_root,flowr_root_af3_chembl35_full,P08183,Transporter,83,0.85,0.722,0.263,0.293,0.187,0.594,0.031
flowr_root,flowr_root_af3_chembl35_full,P08684,Cytochrome p450,56,1.239,1.534,-0.325,-0.34,-0.229,0.385,-0.005
flowr_root,flowr_root_af3_chembl35_full,P08908,Family A G protein-coupled receptor,46,0.743,0.551,0.823,0.801,0.58,0.79,0.53
flowr_root,flowr_root_af3_chembl35_full,P09874,Transferase,127,0.917,0.842,0.591,0.608,0.444,0.722,0.314
flowr_root,flowr_root_af3_chembl35_full,P0DTD1,Transferase,726,1.176,1.383,0.303,0.306,0.208,0.604,0.064
flowr_root,flowr_root_af3_chembl35_full,P10275,Transcription factor,36,0.97,0.942,0.054,0.042,0.024,0.512,0.0
flowr_root,flowr_root_af3_chembl35_full,P14416,Family A G protein-coupled receptor,134,0.75,0.563,0.733,0.715,0.533,0.767,0.49
flowr_root,flowr_root_af3_chembl35_full,P17931,Unclassified protein,38,0.867,0.751,-0.233,-0.379,-0.274,0.363,-0.033
flowr_root,flowr_root_af3_chembl35_full,P21728,Family A G protein-coupled receptor,37,0.712,0.508,0.671,0.683,0.509,0.755,0.317
flowr_root,flowr_root_af3_chembl35_full,P22303,Hydrolase,109,1.035,1.072,0.659,0.56,0.399,0.7,0.412
flowr_root,flowr_root_af3_chembl35_full,P23458,Kinase,99,1.302,1.694,0.578,0.589,0.414,0.708,0.282
flowr_root,flowr_root_af3_chembl35_full,P24941,Kinase,50,0.759,0.575,0.629,0.63,0.454,0.727,0.364
flowr_root,flowr_root_af3_chembl35_full,P27338,Oxidoreductase,124,0.992,0.985,0.447,0.453,0.313,0.657,0.175
flowr_root,flowr_root_af3_chembl35_full,P28223,Family A G protein-coupled receptor,54,0.948,0.899,0.478,0.412,0.276,0.638,0.221
flowr_root,flowr_root_af3_chembl35_full,P28335,Family A G protein-coupled receptor,22,0.651,0.424,0.458,0.43,0.326,0.664,0.2
flowr_root,flowr_root_af3_chembl35_full,P28907,Hydrolase|Transferase,37,1.075,1.155,0.529,0.586,0.419,0.711,0.262
flowr_root,flowr_root_af3_chembl35_full,P29274,Family A G protein-coupled receptor,46,1.009,1.019,0.488,0.371,0.273,0.637,0.172
flowr_root,flowr_root_af3_chembl35_full,P29597,Kinase,51,0.83,0.689,0.518,0.481,0.337,0.669,0.256
flowr_root,flowr_root_af3_chembl35_full,P31153,Transferase,50,0.643,0.414,0.411,0.477,0.376,0.689,0.121
flowr_root,flowr_root_af3_chembl35_full,P34913,Hydrolase,70,0.595,0.354,0.82,0.795,0.602,0.802,0.501
flowr_root,flowr_root_af3_chembl35_full,P34972,Family A G protein-coupled receptor,30,1.104,1.219,0.454,0.357,0.264,0.632,0.2
flowr_root,flowr_root_af3_chembl35_full,P35372,Family A G protein-coupled receptor,35,0.784,0.615,0.566,0.538,0.353,0.677,0.234
flowr_root,flowr_root_af3_chembl35_full,P35408,Family A G protein-coupled receptor,54,1.413,1.995,-0.119,-0.079,-0.065,0.467,0.009
flowr_root,flowr_root_af3_chembl35_full,P35462,Family A G protein-coupled receptor,79,0.602,0.363,0.883,0.826,0.639,0.82,0.628
flowr_root,flowr_root_af3_chembl35_full,P36544,Ion channel,33,0.855,0.73,0.113,0.112,0.068,0.534,0.001
flowr_root,flowr_root_af3_chembl35_full,P37231,Transcription factor,16,0.537,0.289,0.717,0.748,0.571,0.788,0.355
flowr_root,flowr_root_af3_chembl35_full,P41143,Family A G protein-coupled receptor,41,0.68,0.463,0.591,0.468,0.296,0.649,0.26
flowr_root,flowr_root_af3_chembl35_full,P41145,Family A G protein-coupled receptor,34,1.159,1.344,0.552,0.462,0.333,0.667,0.295
flowr_root,flowr_root_af3_chembl35_full,P42330,Oxidoreductase,99,0.608,0.37,0.532,0.465,0.327,0.665,0.153
flowr_root,flowr_root_af3_chembl35_full,P42336,Transferase,111,0.655,0.429,0.825,0.848,0.656,0.829,0.579
flowr_root,flowr_root_af3_chembl35_full,P42345,Kinase,55,0.943,0.889,0.281,0.289,0.189,0.595,0.046
flowr_root,flowr_root_af3_chembl35_full,P42866,Family A G protein-coupled receptor,32,0.502,0.252,-0.05,-0.026,0.008,0.504,0.0
flowr_root,flowr_root_af3_chembl35_full,P43166,Lyase,119,0.975,0.95,0.589,0.554,0.404,0.703,0.233
flowr_root,flowr_root_af3_chembl35_full,P43490,Unclassified protein,38,0.811,0.657,0.693,0.6,0.421,0.711,0.438
flowr_root,flowr_root_af3_chembl35_full,P45983,Kinase,68,1.16,1.346,0.579,0.574,0.427,0.718,0.326
flowr_root,flowr_root_af3_chembl35_full,P49759,Kinase,97,0.732,0.536,0.164,0.128,0.086,0.543,0.017
flowr_root,flowr_root_af3_chembl35_full,P49841,Kinase,113,1.273,1.622,0.525,0.491,0.354,0.677,0.226
flowr_root,flowr_root_af3_chembl35_full,P50406,Family A G protein-coupled receptor,77,0.879,0.773,0.262,0.32,0.216,0.608,0.05
flowr_root,flowr_root_af3_chembl35_full,P51449,Transcription factor,59,0.874,0.763,-0.101,-0.067,-0.043,0.478,0.004
flowr_root,flowr_root_af3_chembl35_full,P52333,Kinase,70,0.564,0.318,0.717,0.677,0.505,0.753,0.513
flowr_root,flowr_root_af3_chembl35_full,P53350,Kinase,96,1.427,2.035,0.693,0.61,0.434,0.718,0.336
flowr_root,flowr_root_af3_chembl35_full,P53779,Kinase,159,0.68,0.463,0.744,0.676,0.496,0.749,0.542
flowr_root,flowr_root_af3_chembl35_full,Q00987,Other nuclear protein,94,0.748,0.56,0.878,0.868,0.691,0.846,0.699
flowr_root,flowr_root_af3_chembl35_full,Q02127,Oxidoreductase,31,0.606,0.367,0.718,0.659,0.511,0.756,0.411
flowr_root,flowr_root_af3_chembl35_full,Q03111,Epigenetic regulator,48,0.762,0.58,0.697,0.704,0.502,0.752,0.391
flowr_root,flowr_root_af3_chembl35_full,Q03181,Transcription factor,19,0.53,0.28,0.559,0.488,0.322,0.661,0.275
flowr_root,flowr_root_af3_chembl35_full,Q06124,Phosphatase,42,0.702,0.493,0.598,0.605,0.445,0.723,0.294
flowr_root,flowr_root_af3_chembl35_full,Q06187,Kinase,69,0.849,0.72,0.539,0.5,0.348,0.674,0.241
flowr_root,flowr_root_af3_chembl35_full,Q12809,Ion channel,119,1.555,2.419,0.058,-0.009,-0.0,0.5,0.001
flowr_root,flowr_root_af3_chembl35_full,Q13546,Kinase,52,0.838,0.701,0.609,0.597,0.427,0.715,-0.008
flowr_root,flowr_root_af3_chembl35_full,Q13547,Epigenetic regulator,358,0.741,0.549,0.662,0.665,0.48,0.74,0.369
flowr_root,flowr_root_af3_chembl35_full,Q13627,Kinase,80,0.85,0.723,0.501,0.469,0.345,0.673,0.214
flowr_root,flowr_root_af3_chembl35_full,Q15910,Epigenetic regulator,44,0.577,0.333,0.282,0.28,0.195,0.598,0.056
flowr_root,flowr_root_af3_chembl35_full,Q16769,Transferase,52,0.932,0.869,0.146,0.199,0.118,0.559,0.012
flowr_root,flowr_root_af3_chembl35_full,Q16790,Lyase,209,0.779,0.607,0.491,0.447,0.31,0.655,0.17
flowr_root,flowr_root_af3_chembl35_full,Q72547,Hydrolase,164,0.906,0.821,0.227,0.16,0.107,0.553,0.022
flowr_root,flowr_root_af3_chembl35_full,Q92630,Kinase,38,0.896,0.802,0.14,0.072,0.028,0.514,0.016
flowr_root,flowr_root_af3_chembl35_full,Q92769,Epigenetic regulator,41,0.706,0.499,0.556,0.418,0.304,0.652,0.272
flowr_root,flowr_root_af3_chembl35_full,Q92918,Kinase,134,0.78,0.608,0.359,0.323,0.223,0.612,0.081
flowr_root,flowr_root_af3_chembl35_full,Q96P20,Unclassified protein,73,1.642,2.695,0.019,-0.018,-0.029,0.485,0.0
flowr_root,flowr_root_af3_chembl35_full,Q96SW2,Unclassified protein,56,0.688,0.474,0.813,0.71,0.523,0.762,0.66
flowr_root,flowr_root_af3_chembl35_full,Q99538,Protease,40,1.714,2.938,0.306,0.315,0.211,0.605,0.045
flowr_root,flowr_root_af3_chembl35_full,Q9NXA8,Epigenetic regulator,95,0.647,0.418,-0.058,0.012,0.009,0.504,-0.0
flowr_root,flowr_root_af3_chembl35_full,Q9Y463,Kinase,42,0.784,0.614,0.162,0.105,0.088,0.544,0.023
haiping,haiping_af3_chembl35_full,C7C422,Hydrolase,49,1.432,2.05,-0.155,-0.156,-0.111,0.445,0.005
haiping,haiping_af3_chembl35_full,O00444,Kinase,147,1.317,1.735,0.399,0.443,0.291,0.646,0.125
haiping,haiping_af3_chembl35_full,O14757,Kinase,59,0.763,0.582,0.076,0.079,0.045,0.523,0.003
haiping,haiping_af3_chembl35_full,O43570,Lyase,196,0.902,0.813,0.052,-0.01,-0.009,0.496,0.0
haiping,haiping_af3_chembl35_full,O60341,Epigenetic regulator,122,1.149,1.319,0.321,0.309,0.207,0.604,0.056
haiping,haiping_af3_chembl35_full,O60674,Kinase,77,1.767,3.121,-0.143,-0.149,-0.095,0.452,-0.008
haiping,haiping_af3_chembl35_full,O60885,Epigenetic regulator,234,0.945,0.893,0.351,0.343,0.233,0.616,0.077
haiping,haiping_af3_chembl35_full,O75116,Kinase,60,0.972,0.945,0.304,0.369,0.251,0.626,0.089
haiping,haiping_af3_chembl35_full,O75874,Oxidoreductase,39,1.595,2.544,0.226,0.251,0.161,0.581,0.036
haiping,haiping_af3_chembl35_full,O94925,Hydrolase,84,1.149,1.32,0.207,0.072,0.054,0.527,-0.014
haiping,haiping_af3_chembl35_full,O96028,Epigenetic regulator,34,1.001,1.002,0.453,0.486,0.345,0.673,0.058
haiping,haiping_af3_chembl35_full,P00533,Kinase,139,1.174,1.378,-0.073,-0.093,-0.069,0.466,0.001
haiping,haiping_af3_chembl35_full,P00915,Lyase,247,1.057,1.116,0.411,0.365,0.251,0.626,0.113
haiping,haiping_af3_chembl35_full,P00918,Lyase,263,0.977,0.954,0.247,0.2,0.139,0.57,0.02
haiping,haiping_af3_chembl35_full,P01116,Hydrolase,52,2.055,4.225,0.002,-0.035,-0.017,0.492,0.0
haiping,haiping_af3_chembl35_full,P03372,Transcription factor,79,1.349,1.82,-0.33,-0.304,-0.219,0.39,0.016
haiping,haiping_af3_chembl35_full,P03951,Protease,39,1.024,1.049,0.389,0.198,0.144,0.572,0.134
haiping,haiping_af3_chembl35_full,P04629,Kinase,113,1.605,2.576,-0.035,-0.005,-0.002,0.499,0.0
haiping,haiping_af3_chembl35_full,P06276,Hydrolase,126,1.686,2.842,-0.323,-0.247,-0.164,0.418,-0.026
haiping,haiping_af3_chembl35_full,P07333,Kinase,81,1.558,2.428,-0.115,-0.154,-0.11,0.445,0.001
haiping,haiping_af3_chembl35_full,P08183,Transporter,83,1.066,1.136,0.126,0.065,0.048,0.524,0.004
haiping,haiping_af3_chembl35_full,P08684,Cytochrome p450,56,2.252,5.071,-0.734,-0.64,-0.442,0.279,-0.361
haiping,haiping_af3_chembl35_full,P08908,Family A G protein-coupled receptor,46,1.468,2.154,-0.089,-0.121,-0.087,0.456,0.003
haiping,haiping_af3_chembl35_full,P09874,Transferase,127,1.4,1.961,-0.25,-0.324,-0.237,0.381,0.019
haiping,haiping_af3_chembl35_full,P0DTD1,Transferase,726,1.893,3.585,0.172,0.16,0.107,0.554,0.019
haiping,haiping_af3_chembl35_full,P10275,Transcription factor,36,1.167,1.363,0.004,-0.046,-0.03,0.485,-0.0
haiping,haiping_af3_chembl35_full,P14416,Family A G protein-coupled receptor,134,1.202,1.445,-0.053,-0.036,-0.041,0.479,0.001
haiping,haiping_af3_chembl35_full,P17931,Unclassified protein,38,2.177,4.738,-0.152,-0.302,-0.18,0.41,-0.016
haiping,haiping_af3_chembl35_full,P21728,Family A G protein-coupled receptor,37,0.905,0.819,-0.042,0.04,0.041,0.52,0.001
haiping,haiping_af3_chembl35_full,P22303,Hydrolase,109,2.068,4.279,0.303,0.11,0.061,0.531,0.057
haiping,haiping_af3_chembl35_full,P23458,Kinase,99,1.592,2.534,0.453,0.442,0.299,0.65,0.187
haiping,haiping_af3_chembl35_full,P24941,Kinase,50,1.076,1.157,0.535,0.488,0.35,0.675,0.24
haiping,haiping_af3_chembl35_full,P27338,Oxidoreductase,124,1.444,2.086,0.031,0.011,0.013,0.506,0.0
haiping,haiping_af3_chembl35_full,P28223,Family A G protein-coupled receptor,54,1.365,1.863,0.274,0.224,0.153,0.576,0.056
haiping,haiping_af3_chembl35_full,P28335,Family A G protein-coupled receptor,22,1.574,2.476,0.026,0.018,0.035,0.517,0.0
haiping,haiping_af3_chembl35_full,P28907,Hydrolase|Transferase,37,1.71,2.923,-0.251,-0.187,-0.127,0.436,-0.023
haiping,haiping_af3_chembl35_full,P29274,Family A G protein-coupled receptor,46,1.641,2.694,0.264,0.308,0.223,0.611,0.063
haiping,haiping_af3_chembl35_full,P29597,Kinase,51,1.263,1.595,-0.221,-0.283,-0.174,0.413,0.008
haiping,haiping_af3_chembl35_full,P31153,Transferase,50,0.789,0.622,0.352,0.381,0.248,0.625,0.064
haiping,haiping_af3_chembl35_full,P34913,Hydrolase,70,1.628,2.652,-0.014,-0.089,-0.06,0.47,0.0
haiping,haiping_af3_chembl35_full,P34972,Family A G protein-coupled receptor,30,1.845,3.403,-0.191,-0.127,-0.076,0.462,0.008
haiping,haiping_af3_chembl35_full,P35372,Family A G protein-coupled receptor,35,1.464,2.142,0.106,0.089,0.076,0.538,0.007
haiping,haiping_af3_chembl35_full,P35408,Family A G protein-coupled receptor,54,1.337,1.789,0.319,0.202,0.138,0.571,0.09
